Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
ANT1,2450FM07A0029T,2450FM07A0029T,158.4,-109.025,0.0,top
C1,100nF,C_0402_1005Metric,126.52,-115.2,180.0,top
C10,100nF,C_0402_1005Metric,147.125,-112.225,0.0,top
C11,100nF,C_0402_1005Metric,149.425,-105.025,0.0,top
C12,100nF,C_0402_1005Metric,142.725,-112.225,180.0,top
C13,100nF,C_0402_1005Metric,124.6,-109.3,180.0,top
C14,100nF,C_0402_1005Metric,131.22,-115.2,0.0,top
C15,100nF,C_0402_1005Metric,134.3,-109.2,90.0,top
C16,100nF,C_0402_1005Metric,124.6,-107.3,180.0,top
C17,100nF,C_0402_1005Metric,126.58,-105.9,180.0,top
C2,100nF,C_0402_1005Metric,124.6,-108.3,180.0,top
C3,100nF,C_0402_1005Metric,130.12,-105.9,180.0,top
C4,100nF,C_0402_1005Metric,124.605,-110.3,180.0,top
C5,100nF,C_0402_1005Metric,136.32,-111.6,180.0,top
C6,100nF,C_0402_1005Metric,153.545,-112.425,180.0,top
C7,10nF,C_0402_1005Metric,155.425,-105.525,-90.0,top
C8,10nF,C_0402_1005Metric,156.525,-105.525,-90.0,top
C9,470nF,C_0402_1005Metric,151.125,-111.205,-90.0,top
D1,LED,LED_0603_1608Metric,148.1,-102.8,0.0,top
D2,LED,LED_0603_1608Metric,132.0,-102.8,0.0,top
IC1,SX1280IMLTRT,QFN50P400X400X100-25N-D,154.325,-109.325,-90.0,top
IC2,ESP8285,QFN50P500X500X90-33N-D,146.825,-108.625,90.0,top
IC3,"74HCT4066BQ,115",74HCT4066BQ115,135.5,-104.6,-90.0,top
L1,SLDA52-2R710G-SITF,ANT-SMD_L5.2-W2.1,161.5,-109.0,90.0,top
L2,SLDA52-2R710G-SITF,ANT-SMD_L5.2-W2.1,146.325,-114.175,0.0,top
R1,12k,R_0402_1005Metric,149.025,-112.225,0.0,top
R10,1k,R_0402_1005Metric,132.0,-105.9,0.0,top
R2,12k,R_0402_1005Metric,150.725,-107.815,90.0,top
R3,470,R_0402_1005Metric,135.01,-115.2,0.0,top
R4,470,R_0402_1005Metric,133.1,-115.2,0.0,top
R5,12k,R_0402_1005Metric,142.725,-111.225,0.0,top
R6,12k,R_0402_1005Metric,144.625,-112.225,180.0,top
R7,12k,R_0402_1005Metric,147.525,-105.025,180.0,top
R8,470,R_0402_1005Metric,147.5,-104.025,0.0,top
R9,470,R_0402_1005Metric,132.0,-104.9,180.0,top
SW1,SW_SPST,SW_SPST_B3U-1000P,144.1,-103.7,180.0,top
SW2,SW_SPST,SW_SPST_B3U-1000P,128.0,-103.7,0.0,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,129.7,-110.55,90.0,top
U2,W25Q16JVSS,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,136.05,-108.975,-90.0,top
U3,XC6206PxxxMR,SOT-23-3,123.7,-113.5,-90.0,top
X1,SX1M_12MHz,Crystal_SMD_SeikoEpson_FA128-4Pin_2.0x1.6mm,135.425,-113.425,180.0,top
X2,SX1M_26MHz,Crystal_SMD_SeikoEpson_FA128-4Pin_2.0x1.6mm,142.4,-109.2,90.0,top
Y1,52MHz,Crystal_SMD_SeikoEpson_FA128-4Pin_2.0x1.6mm,152.925,-105.325,0.0,top
